tick_ms,valid_fix,fix_type,satellites,latitude_deg,longitude_deg,altitude_m,speed_mps,course_deg,hdop
36283,1,1,9,39.97369766,-105.14990234,1666.3000,0.1157,0.0000,1.3100
37097,1,1,9,39.97369766,-105.14990234,1666.3000,0.0864,0.0000,1.3100
37215,1,1,9,39.97369766,-105.14990234,1666.3000,0.0864,0.0000,1.3100
38088,1,1,9,39.97369766,-105.14989471,1666.3000,0.0391,0.0000,1.3100
38235,1,1,9,39.97369766,-105.14989471,1666.8000,0.0391,0.0000,1.3100
39081,1,1,9,39.97369766,-105.14989471,1666.8000,0.0926,0.0000,1.3100
39227,1,1,9,39.97369766,-105.14989471,1667.3000,0.0926,0.0000,1.3100
40111,1,1,9,39.97370148,-105.14989471,1667.3000,0.2181,0.0000,1.3100
40322,1,1,9,39.97370148,-105.14989471,1667.7000,0.2181,0.0000,1.3100
41185,1,1,9,39.97369766,-105.14989471,1667.4000,0.2325,0.0000,1.3100
42040,1,1,9,39.97369766,-105.14989471,1667.4000,0.2660,0.0000,1.3100
42153,1,1,9,39.97369766,-105.14989471,1668.1000,0.2660,0.0000,1.3100
43038,1,1,9,39.97369766,-105.14989471,1668.1000,0.1476,0.0000,1.3100
43186,1,1,9,39.97369766,-105.14989471,1668.4000,0.1476,0.0000,1.3200
44103,1,1,9,39.97369385,-105.14989471,1668.4000,0.0875,0.0000,1.3200
44303,1,1,9,39.97369385,-105.14989471,1668.4000,0.0875,0.0000,1.3200
45102,1,1,9,39.97369385,-105.14990234,1668.4000,0.0309,0.0000,1.3200
45254,1,1,9,39.97369385,-105.14990234,1668.6000,0.0309,0.0000,1.3200
46089,1,1,9,39.97369385,-105.14990234,1668.6000,0.0422,0.0000,1.3200
46237,1,1,9,39.97369385,-105.14990234,1668.8000,0.0422,0.0000,1.3200
47102,1,1,9,39.97369003,-105.14990234,1668.8000,0.0540,0.0000,1.3200
47216,1,1,9,39.97369003,-105.14990234,1668.5000,0.0540,0.0000,1.3200
